,City,Country,Lat,Lng,Max Temp (F),Cloudiness (%),Humidity (%),Wind Speed (mph),Data Retrieved Time
0,Christchurch,NZ,-43.53,172.64,34,0,92,1.12,12:37:47 Jun/27/2019 (Thu)
1,Cape Town,ZA,-33.93,18.42,59,75,71,24.16,12:31:29 Jun/27/2019 (Thu)
2,Ponta Delgada,PT,37.73,-25.67,66.2,20,63,14.99,12:30:08 Jun/27/2019 (Thu)
3,Olinda,AU,-37.84,145.39,57,47,71,10.29,12:34:41 Jun/27/2019 (Thu)
4,Faanui,PF,-16.48,-151.75,78.61,28,76,4.65,12:34:28 Jun/27/2019 (Thu)
5,Avarua,CK,-21.21,-159.78,71.6,97,78,5.82,12:30:49 Jun/27/2019 (Thu)
6,Nautla,MX,20.22,-96.78,85.27,7,64,11.88,12:40:30 Jun/27/2019 (Thu)
7,East London,ZA,-33.02,27.91,66.2,0,63,10.29,12:29:54 Jun/27/2019 (Thu)
8,Mudon,MM,16.26,97.73,80.05,100,84,12.21,12:40:30 Jun/27/2019 (Thu)
9,Butaritari,KI,3.07,172.79,83.29,44,76,12.95,12:34:11 Jun/27/2019 (Thu)
10,Upernavik,GL,72.79,-56.15,33.61,89,81,5.7,12:34:16 Jun/27/2019 (Thu)
11,Hilo,US,19.71,-155.08,73.4,90,88,6.93,12:34:09 Jun/27/2019 (Thu)
12,Lorengau,PG,-2.02,147.27,78.97,98,85,4.74,12:34:42 Jun/27/2019 (Thu)
13,Ibra,OM,22.69,58.55,84.73,2,52,6.69,12:40:30 Jun/27/2019 (Thu)
14,Saskylakh,RU,71.97,114.09,54.49,100,41,5.55,12:34:31 Jun/27/2019 (Thu)
15,Mataura,NZ,-46.19,168.86,41,91,91,1.01,12:34:09 Jun/27/2019 (Thu)
16,Punta Arenas,CL,-53.16,-70.91,32,20,79,10.29,12:34:12 Jun/27/2019 (Thu)
17,Ushuaia,AR,-54.81,-68.31,30.2,40,74,24.16,12:29:30 Jun/27/2019 (Thu)
18,Zaraza,VE,9.35,-65.33,87.07,47,56,6.29,12:40:30 Jun/27/2019 (Thu)
19,Kaitangata,NZ,-46.28,169.85,41,94,80,4,12:34:12 Jun/27/2019 (Thu)
20,Ipixuna,BR,-1.76,-48.8,89.6,40,55,10.29,12:40:30 Jun/27/2019 (Thu)
21,Borzya,RU,50.39,116.53,54.85,97,82,10.49,12:40:31 Jun/27/2019 (Thu)
22,San Cristobal,HN,14.68,-86.92,84.55,68,41,11.92,12:34:50 Jun/27/2019 (Thu)
23,Portland,US,43.66,-70.25,75,90,82,4.65,12:32:40 Jun/27/2019 (Thu)
24,Tevaitoa,PF,-16.78,-151.5,78.25,42,79,9.24,12:40:31 Jun/27/2019 (Thu)
25,Atuona,PF,-9.8,-139.03,80.77,15,74,17.38,12:34:13 Jun/27/2019 (Thu)
26,Rikitea,PF,-23.12,-134.97,74.65,90,82,19.17,12:34:08 Jun/27/2019 (Thu)
27,Burhaniye,TR,39.51,26.98,88,0,38,20.8,12:40:31 Jun/27/2019 (Thu)
28,Ilulissat,GL,69.22,-51.1,42.8,75,60,5.82,12:34:45 Jun/27/2019 (Thu)
29,Malanje,AO,-9.54,16.35,77,75,57,4.7,12:40:31 Jun/27/2019 (Thu)
30,Grand Gaube,MU,-20.01,57.66,75.2,75,73,12.75,12:40:31 Jun/27/2019 (Thu)
31,Mount Gambier,AU,-37.83,140.78,59,63,54,19.46,12:34:46 Jun/27/2019 (Thu)
32,Sittingbourne,GB,51.34,0.73,71.01,40,68,16.11,12:40:31 Jun/27/2019 (Thu)
33,Port Hardy,CA,50.7,-127.42,53.6,90,93,6.38,12:35:21 Jun/27/2019 (Thu)
34,Japura,ID,-0.42,102.29,74.47,69,94,2.19,12:40:31 Jun/27/2019 (Thu)
35,Hithadhoo,MV,-0.6,73.08,84.19,100,71,7.36,12:34:29 Jun/27/2019 (Thu)
