,City,Country,Lat,Lng,Max Temp (F),Cloudiness (%),Humidity (%),Wind Speed (mph),Data Retrieved Time
0,Liwale,TZ,-9.8,37.92,71.84,1,55,4,02:32:49 Jul/31/2019 (Wed)
1,Mataura,NZ,-46.19,168.86,44.01,93,78,11.01,02:29:11 Jul/31/2019 (Wed)
2,Peniche,PT,39.36,-9.38,62.6,0,72,16.11,02:30:14 Jul/31/2019 (Wed)
3,Nouadhibou,MR,20.93,-17.03,68,0,82,17.22,02:32:49 Jul/31/2019 (Wed)
4,Port Alfred,ZA,-33.59,26.89,59,0,73,5.01,02:29:13 Jul/31/2019 (Wed)
5,Horadiz,AZ,39.45,47.33,82.4,75,78,2.24,02:32:50 Jul/31/2019 (Wed)
6,Saint-Philippe,CA,45.36,-73.48,75.2,90,88,8.05,02:29:25 Jul/31/2019 (Wed)
7,Puerto Narino,CO,-3.77,-70.38,75.2,0,100,0.76,02:29:52 Jul/31/2019 (Wed)
8,Bethel,US,60.79,-161.76,60.8,20,59,9.17,02:29:43 Jul/31/2019 (Wed)
9,Oum Hadjer,TD,13.3,19.7,83,90,62,8.59,02:32:50 Jul/31/2019 (Wed)
10,Conakry,GN,9.52,-13.7,75.2,75,100,11.18,02:32:37 Jul/31/2019 (Wed)
11,Oriximina,BR,-1.77,-55.87,80.3,83,65,2.71,02:32:50 Jul/31/2019 (Wed)
12,Nioro,GM,13.79,-15.05,78.5,80,83,8.1,02:30:24 Jul/31/2019 (Wed)
13,Sirjan,IR,29.44,55.67,92.9,0,16,3.18,02:32:50 Jul/31/2019 (Wed)
14,Meadow Lake,CA,54.13,-108.44,56.18,84,97,7.11,02:32:51 Jul/31/2019 (Wed)
15,Ostersund,SE,63.18,14.64,48.2,0,81,3.36,02:28:58 Jul/31/2019 (Wed)
16,Sao Filipe,CV,14.9,-24.5,75.62,90,91,16.11,02:29:30 Jul/31/2019 (Wed)
17,Coihaique,CL,-45.58,-72.07,39.2,0,86,3.36,02:29:55 Jul/31/2019 (Wed)
18,Punta Arenas,CL,-53.16,-70.91,39.2,90,93,16.11,02:29:19 Jul/31/2019 (Wed)
19,Puerto Ayora,EC,-0.74,-90.35,69.01,3,88,4,02:26:30 Jul/31/2019 (Wed)
20,Cape Town,ZA,-33.93,18.42,54,75,100,2.24,02:24:45 Jul/31/2019 (Wed)
21,Tuatapere,NZ,-46.13,167.69,44.01,100,78,10,02:30:14 Jul/31/2019 (Wed)
22,Busselton,AU,-33.64,115.35,71.01,0,42,3.91,02:29:14 Jul/31/2019 (Wed)
23,Salinopolis,BR,-0.61,-47.36,80.84,39,84,14.56,02:30:23 Jul/31/2019 (Wed)
24,Locri,IT,38.24,16.26,78.01,20,83,12.75,02:31:34 Jul/31/2019 (Wed)
25,Quelimane,MZ,-17.88,36.89,64.4,40,93,5.82,02:32:51 Jul/31/2019 (Wed)
26,Vilyuysk,RU,63.75,121.63,70.22,56,37,2.3,02:32:51 Jul/31/2019 (Wed)
27,Carnarvon,ZA,-30.97,22.13,38.72,34,81,4.68,02:29:17 Jul/31/2019 (Wed)
28,Ushuaia,AR,-54.81,-68.31,35.6,20,69,7.29,02:29:13 Jul/31/2019 (Wed)
29,Albany,US,42.65,-73.75,72,90,88,3.33,02:24:50 Jul/31/2019 (Wed)
30,Upernavik,GL,72.79,-56.15,46.28,95,76,5.55,02:29:27 Jul/31/2019 (Wed)
31,Souillac,FR,45.6,-0.6,60.01,0,93,1.12,02:29:28 Jul/31/2019 (Wed)
